,zillow_id,address,zipcode,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price
785,25063077.0,"8526 DEERVALE RD, DUBLIN, CA",94568.0,1748.0,6999.0,5.0,2.0,SingleFamily,1961.0,07/14/1988,154500.0
786,25064183.0,"8315 DAVONA DR, DUBLIN, CA",94568.0,1000.0,6999.0,3.0,2.0,SingleFamily,1963.0,06/03/2004,465000.0
787,25064149.0,"7359 LIMERICK CT, DUBLIN, CA",94568.0,1116.0,7013.0,3.0,2.0,SingleFamily,1963.0,06/28/2017,745000.0
788,25064147.0,"7335 LIMERICK CT, DUBLIN, CA",94568.0,1340.0,6999.0,4.0,2.0,SingleFamily,1963.0,,
789,25064142.0,"7328 LIMERICK CT, DUBLIN, CA",94568.0,1424.0,6734.0,3.0,2.0,SingleFamily,1963.0,,
790,25064141.0,"7340 LIMERICK CT, DUBLIN, CA",94568.0,1475.0,6999.0,4.0,2.0,SingleFamily,1963.0,,
791,25062441.0,"7282 HANSEN DR, DUBLIN, CA",94568.0,2069.0,7902.0,4.0,3.0,SingleFamily,1964.0,05/22/2015,800000.0
792,25064083.0,"8042 CRANFORD LN, DUBLIN, CA",94568.0,1116.0,6702.0,3.0,2.0,SingleFamily,1964.0,11/08/2016,709000.0
793,25070719.0,"11835 KILCULLIN CT, DUBLIN, CA",94568.0,963.0,,2.0,2.0,Condominium,1991.0,05/12/2008,335000.0
794,25065235.0,"6888 DUKE CT, DUBLIN, CA",94568.0,1867.0,6765.0,5.0,2.5,SingleFamily,1966.0,,
795,25065654.0,"7083 LANCASTER CT, DUBLIN, CA",94568.0,1830.0,7178.0,4.0,2.5,SingleFamily,1968.0,06/15/2012,480000.0
796,25065655.0,"7095 LANCASTER CT, DUBLIN, CA",94568.0,1269.0,5532.0,3.0,2.0,SingleFamily,1968.0,08/14/2015,736000.0
797,25062168.0,"7793 PEPPERTREE RD, DUBLIN, CA",94568.0,2240.0,12000.0,4.0,3.0,SingleFamily,1964.0,,
798,64965221.0,"2829 SABLE OAKS WY, DUBLIN, CA",94568.0,5205.0,9867.0,5.0,5.5,SingleFamily,2004.0,10/22/2004,1148000.0
799,64965220.0,"2855 SABLE OAKS WY, DUBLIN, CA",94568.0,4434.0,9733.0,4.0,5.0,SingleFamily,2004.0,10/26/2004,228409.0
800,64965219.0,"2861 SABLE OAKS WY, DUBLIN, CA",94568.0,4956.0,10977.0,5.0,6.0,SingleFamily,2004.0,05/14/2013,1485000.0
801,68023119.0,"2871 SABLE OAKS WY, DUBLIN, CA",94568.0,4956.0,9583.0,5.0,5.5,MultiFamily2To4,2004.0,04/27/2012,966000.0
802,68023118.0,"2885 SABLE OAKS WY, DUBLIN, CA",94568.0,4434.0,8276.0,4.0,4.5,SingleFamily,2004.0,11/13/2009,900000.0
803,68023117.0,"5427 SIGNAL HILL DR, DUBLIN, CA",94568.0,4956.0,9558.0,5.0,5.5,SingleFamily,2004.0,03/18/2005,1199500.0
